FOR_liberal;Новая Родина;X
FRT;Форт Росс;X
FRT_ADJ;Росск.;X
RUR;Российская Республика;X
UKR_military_clique;Гетманат;X
RUR_hms_government;Югороссия;X
RUR_prussian_constitutionalism;Югороссия;X
RUR_absolute_monarchy;Югороссия;X
RUR_ADJ;Русск.;X
RUR_liberal;Союз Спасения;X
RUR_conservative;Орден Русских Рыцарей;X
RUR_reactionary;Православный Союз;X
RUR_socialist;Петрашевцы;X
RUR_fascist;Лига Декабря;X
RUR_communist;Союз Трудового Народа;X
diaspora;Диаспора;X
desc_diaspora;Дисапорами называют группы национальных меньшинств, живущие закрыто и изолированно, что затрудняет их интеграцию.;X
recognized;Международное призание;X
recognized_desc;В российском конфликте мировое сообщество поддержало нас.;X
not_recognized;Отказ в признании;X
not_recognized_desc;В российском конфликте мировое сообщество поддержало нашего противника.;X
revolution_under_siege;Революция под угрозой;X
revolution_under_siege_desc;Мы боремся за республику в России, но сами находимся под влиянием императора. Не позорно ли это?;X
crimea_colonization;Перезаселение Крыма;X
crimea_colonization_desc;В провинции действует специальная программа переселения в освободившиеся территории.;X
sich;Сечь;X
sich;Эта провинция является частью возрожденной казацкой сечи;X
karmeluk_reform;Реформа Кармелюка;X
karmeluk_reform_desc;Наша армия переведена на народную основу, где дисциплина поддерживается не угрозой наказания, а духом товарищества и авторитетом офицеров.;X
keep_exciles;Место ссылки;X
keep_exciles_desc;Эта провинция стала местом ссылки, а потому людям запрещено из нее выезжать;X
warsaw_university_1;Варшавшский университет;X
warsaw_university_1_desc;В нашей стране дейстует Варшавский университет, ставий одним из лучших учебных заведений Европы;X
warsaw_university_2;Варшавшский университет;X
warsaw_university_2_desc;В нашей стране дейстует Варшавский университет, известный своим либерализмом и независимостью;X
poland_liberation_order;Орден Освобождения Польши;X
poland_liberation_order_desc;Наше правительство учредило престтижную награду, вручаему как гражданам страны, так и иноземцам, за заслуги в освобождении и сохранении независимости Польши.;X
miloradovich_monument;Памятник Милорадовичу;X
build_miloradovich_monument_title;Построить памятник Милорадовичу;X
build_miloradovich_monument_desc;Михаил Милорадович - одна из ключевых фигур русской гражданской войны. Именно он привел Санкт-Перербург к присяге Константину Павловичу и вывел свои войска на улицы, встав бок о бок с нашими собратьями из Северного общества, за что впоследствии и был казнен царским правительством. Возможно, он и не разделял наших идеалов, но в любом случае он является героем свободной России, заслуживающего быть увековеченным.;X
SAK;Сахалин;X
SAK_ADJ;Сахалинск.;X
TAU;Таврида;X
TAU_desc;Таврическ.;X
